period,cost_bps,trades,wins,losses,accuracy_pct,target_hit_rate_pct,profit_factor,expectancy_r,net_r,max_drawdown_r,trades_per_30d,fill_rate_pct,symbols,wilson95_low_pct,wilson95_high_pct,active_months,positive_months,positive_month_ratio,worst_month_accuracy_pct,median_month_accuracy_pct,minimum_month_trades
train,12.0,1243,1180,63,94.93161705551087,94.93161705551087,10.10689633896961,0.5264467259707576,654.3732803816517,5.175411343762136,170.27397260273972,100.0,49,93.56780213098673,96.01856765948345,8,8,1.0,85.18518518518519,94.77267653843292,27
validation,12.0,117,83,34,70.94017094017094,70.94017094017094,1.2384372807125608,0.0798163186250852,9.33850927913497,11.561403592092367,48.082191780821915,100.0,38,62.15187946754994,78.3971179363185,3,2,0.6666666666666666,69.33333333333334,74.06060606060606,9
holdout,12.0,110,57,53,51.81818181818182,51.81818181818182,0.5707304324292984,-0.23533973060518176,-25.887370366569993,30.145320525476567,45.205479452054796,100.0,39,42.57793754404014,60.935720873057456,4,0,0.0,48.93617021276596,52.352700490998366,5
holdout_20bps,20.0,110,57,53,51.81818181818182,51.81818181818182,0.44285842951481996,-0.3301116722207575,-36.31228394428332,38.24220087579428,45.205479452054796,100.0,39,42.57793754404014,60.935720873057456,4,0,0.0,48.93617021276596,52.352700490998366,5
holdout_30bps,30.0,110,57,53,51.81818181818182,51.81818181818182,0.30759739262005337,-0.44857659924022725,-49.343425916425,50.142625792111176,45.205479452054796,100.0,39,42.57793754404014,60.935720873057456,4,0,0.0,48.93617021276596,52.352700490998366,5
latest_30d,12.0,57,32,25,56.14035087719298,56.14035087719298,0.6515181036162451,-0.1773226745492024,-10.107392449304536,16.278163705201656,57.0,100.0,28,43.2780094542315,68.22730310020559,2,0,0.0,55.769230769230774,55.769230769230774,5
