config_id,sl_atr,target_r,fill_buffer_bps,model_name,gate_name,threshold,validation_auc,trades,wins,losses,accuracy_pct,target_hit_rate_pct,profit_factor,expectancy_r,net_r,max_drawdown_r,trades_per_30d,fill_rate_pct,symbols,wilson95_low_pct,wilson95_high_pct,active_months,positive_months,positive_month_ratio,worst_month_accuracy_pct,median_month_accuracy_pct,minimum_month_trades,frequency_eligible,positive_eligible,validation_hard_pass,quality_score
sl0.90_r0.60_fb0.0,0.9,0.6,0.0,hist,all,0.247862,0.5068238331297753,16772,10062,6710,59.99284521822085,59.99284521822085,0.5072268977168256,-0.23605685967094892,-3959.1456504011553,3959.9703968947633,6892.602739726028,100.0,48,59.24920139204465,60.731912570125814,3,0,0.0,58.795396801673895,60.20849224510552,3933,True,False,False,-159.56465632903098
sl0.90_r0.60_fb0.0,0.9,0.6,0.0,hist,all,0.45,0.5068238331297753,15309,9195,6114,60.062708210856364,60.062708210856364,0.5042288027262708,-0.23759208571989665,-3637.2972402858977,3637.7460453394847,6291.369863013699,100.0,48,59.28444727042334,60.835920384955514,3,0,0.0,58.67782152230971,60.13679890560876,3655,True,False,False,-151.61969858035502
sl0.90_r0.60_fb0.0,0.9,0.6,0.0,hist,all,0.492465,0.5068238331297753,10603,6389,4214,60.256531170423465,60.256531170423465,0.5084629733859735,-0.23428740971945491,-2484.1494052553803,2484.159427305837,4357.397260273972,100.0,48,59.321508322147764,61.18412484342822,3,0,0.0,58.80518234165068,60.52733617681272,2579,True,False,False,-122.04917377118043
sl0.90_r0.60_fb0.0,0.9,0.6,0.0,hist,all,0.5,0.5068238331297753,9263,5611,3652,60.57432797149951,60.57432797149951,0.5171635658930811,-0.22799953726335426,-2111.9597136704506,2113.211806289475,3806.7123287671234,100.0,48,59.57495089473406,61.56493812468273,3,0,0.0,59.38973647711512,60.89065255731923,2268,True,False,False,-111.41644553042133
sl0.90_r0.60_fb0.0,0.9,0.6,0.0,hist,all,0.511059,0.5068238331297753,7219,4373,2846,60.57625709932124,60.57625709932124,0.5206152278461631,-0.22603982822746532,-1631.7815199740721,1631.7815199740814,2966.7123287671234,100.0,48,59.44361737049606,61.697646891025215,3,0,0.0,59.45447843715444,60.81156197887715,1799,True,False,False,-99.1313121907427
sl0.90_r0.60_fb0.0,0.9,0.6,0.0,hist,all,0.524037,0.5068238331297753,5092,3102,1990,60.91908876669285,60.91908876669285,0.532438160302961,-0.2181013395845831,-1110.5720211646972,1110.572021164697,2092.6027397260277,100.0,48,59.571158063957974,62.25055693612652,3,0,0.0,60.152422427871535,60.909090909090914,1320,True,False,False,-84.50163850218097
sl0.90_r0.60_fb0.0,0.9,0.6,0.0,hist,all,0.538825,0.5068238331297753,3296,2015,1281,61.134708737864074,61.134708737864074,0.541671120381464,-0.2122239161148653,-699.490027514596,699.7564741439664,1354.5205479452056,100.0,48,59.45856499668518,62.78492788500976,3,0,0.0,59.73913043478261,61.399371069182386,874,True,False,False,-73.13977994667938
sl0.90_r0.60_fb0.0,0.9,0.6,0.0,hist,all,0.55,0.5068238331297753,2272,1390,882,61.179577464788736,61.179577464788736,0.5466047189086505,-0.20940713487150817,-475.7730104280665,475.7730104280659,933.6986301369863,100.0,48,59.15840439138299,63.16300987194791,3,0,0.0,59.843546284224246,61.76470588235294,612,True,False,False,-67.14566727031144
sl0.90_r0.60_fb0.0,0.9,0.6,0.0,hist,all,0.556327,0.5068238331297753,1825,1114,711,61.04109589041096,61.04109589041096,0.5455194332671721,-0.21031284386977886,-383.82094006234644,383.8209400623463,750.0,100.0,48,58.78279900543922,63.2530094051963,3,0,0.0,59.41080196399346,61.026352288488205,493,True,False,False,-65.23921870410155
sl0.90_r0.60_fb0.0,0.9,0.6,0.0,hist,all,0.578451,0.5068238331297753,906,573,333,63.24503311258278,63.24503311258278,0.6053950346663354,-0.17174039914104694,-155.59680162178853,156.10633282571337,372.3287671232877,100.0,48,60.05578459535009,66.32243742050309,3,0,0.0,61.33333333333333,63.956639566395665,237,True,False,False,-50.88774810176873
