index,symbol,interval,month,unit_id,url,checksum_url,status,checksum_http_status,archive_http_status,published_sha256,attempt,error,checked_at_utc
14,BTCUSDT,15m,2026-05,kline:BTCUSDT:15m:2026-05,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2026-05.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2026-05.zip.CHECKSUM,AVAILABLE,200,,1c0a865f62ddca9890f5d7bbe901b7261a3818785594d960f5fce36ee7ce81f5,1,,2026-08-23T12:39:33.915570+00:00
15,BTCUSDT,15m,2026-06,kline:BTCUSDT:15m:2026-06,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2026-06.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2026-06.zip.CHECKSUM,AVAILABLE,200,,54369ae74f8122e0d3c8152807f78ec3ced435a8b0ab59c5efcea2cbad878857,1,,2026-08-23T12:39:33.822631+00:00
16,BTCUSDT,15m,2026-07,kline:BTCUSDT:15m:2026-07,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2026-07.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2026-07.zip.CHECKSUM,AVAILABLE,200,,10df439d8404a31fc55ed91fe0169b79db3fa3e7a8c83bc2eb704004eadea1c2,1,,2026-08-23T12:39:33.571509+00:00
17,BTCUSDT,5m,2026-04,kline:BTCUSDT:5m:2026-04,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2026-04.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2026-04.zip.CHECKSUM,AVAILABLE,200,,e2934467bdb6a000124948f4c8fef176e2066520a6b2e5a0522450fed51396f7,1,,2026-08-23T12:39:33.572363+00:00
18,BTCUSDT,5m,2026-05,kline:BTCUSDT:5m:2026-05,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2026-05.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2026-05.zip.CHECKSUM,AVAILABLE,200,,b1a73378796bb62084c32ca5865903beeaf87d521d950d5e7776343f682dea93,1,,2026-08-23T12:39:33.937655+00:00
19,BTCUSDT,5m,2026-06,kline:BTCUSDT:5m:2026-06,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2026-06.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2026-06.zip.CHECKSUM,AVAILABLE,200,,782c555963c852ca768335de21d5743147e5d50bff449600f8fceb9ebe5273de,1,,2026-08-23T12:39:33.593118+00:00
20,BTCUSDT,5m,2026-07,kline:BTCUSDT:5m:2026-07,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2026-07.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2026-07.zip.CHECKSUM,AVAILABLE,200,,ec750f7aa69c8f842fa1464a90ad4aa92452cfa767df9e8d70dc484e466c8fc3,1,,2026-08-23T12:39:33.575584+00:00
21,BTCUSDT,1m,2026-04,kline:BTCUSDT:1m:2026-04,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2026-04.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2026-04.zip.CHECKSUM,AVAILABLE,200,,515b86570f0c6924f6dc2cf90589d3db90f3de9c6bfd9a22dde0429995dc5405,1,,2026-08-23T12:39:33.912446+00:00
22,BTCUSDT,1m,2026-05,kline:BTCUSDT:1m:2026-05,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2026-05.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2026-05.zip.CHECKSUM,AVAILABLE,200,,d91548e94220d5211bb32447cc4b604ee266d145f2092edc5ec613328cbbc20a,1,,2026-08-23T12:39:33.538711+00:00
23,BTCUSDT,1m,2026-06,kline:BTCUSDT:1m:2026-06,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2026-06.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2026-06.zip.CHECKSUM,AVAILABLE,200,,9b214199eb5063585c7ed0f59ba19323326d68ac024b85106713989399204490,1,,2026-08-23T12:39:33.574611+00:00
24,BTCUSDT,1m,2026-07,kline:BTCUSDT:1m:2026-07,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2026-07.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2026-07.zip.CHECKSUM,AVAILABLE,200,,f18440bb58f0c7e1ff63cbb906132002877c4914540c8aebab920da6937cff73,1,,2026-08-23T12:39:33.909208+00:00
