symbol,interval,month,status,checksum_http_status,checksum,url,checked_at_utc,attempt,error
DOTUSDT,5m,2026-06,AVAILABLE,200,d1284559b4b7d72d0733ff9e37792e1c54a1be4d083724caead0c62da404879a,https://data.binance.vision/data/futures/um/monthly/klines/DOTUSDT/5m/DOTUSDT-5m-2026-06.zip,2026-08-23T12:47:32.020680+00:00,1,
DOTUSDT,5m,2026-07,AVAILABLE,200,c9de274015ede5b75d29fc787b90e1f41e286aee204b9f4061e09f847d2d5e45,https://data.binance.vision/data/futures/um/monthly/klines/DOTUSDT/5m/DOTUSDT-5m-2026-07.zip,2026-08-23T12:47:32.000503+00:00,1,
DOTUSDT,1m,2026-04,AVAILABLE,200,d5b2d13508d25672a2b3a9ec206d4a12e62afb1b4fca3cabcac9190ecffdaff9,https://data.binance.vision/data/futures/um/monthly/klines/DOTUSDT/1m/DOTUSDT-1m-2026-04.zip,2026-08-23T12:47:31.853873+00:00,1,
DOTUSDT,1m,2026-05,AVAILABLE,200,01a999857561a08722ed2d408192b3464bef79a0cbb404d326d74b3971bdfa36,https://data.binance.vision/data/futures/um/monthly/klines/DOTUSDT/1m/DOTUSDT-1m-2026-05.zip,2026-08-23T12:47:31.669186+00:00,1,
DOTUSDT,1m,2026-06,AVAILABLE,200,3280550ec42388f42704fc94bbd5de6ab228faabdeab62982c848187852e044d,https://data.binance.vision/data/futures/um/monthly/klines/DOTUSDT/1m/DOTUSDT-1m-2026-06.zip,2026-08-23T12:47:31.676525+00:00,1,
DOTUSDT,1m,2026-07,AVAILABLE,200,6b86ea2be4a1580a9883e9c6663c5bcb0c0bd6dc0fe019bba25109f113240f19,https://data.binance.vision/data/futures/um/monthly/klines/DOTUSDT/1m/DOTUSDT-1m-2026-07.zip,2026-08-23T12:47:32.002728+00:00,1,
HBARUSDT,1d,2026-04,AVAILABLE,200,4d7704f9f69c4090b1b7071ebe99f6d90bd55ef9d0b34a0867bfaa86cbc25170,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/1d/HBARUSDT-1d-2026-04.zip,2026-08-23T12:47:31.697903+00:00,1,
HBARUSDT,1d,2026-05,AVAILABLE,200,eb7e1efaf34cf05b16be50e1f8915ab39cd6dbc36ea0e03ad95e9b03a83f2238,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/1d/HBARUSDT-1d-2026-05.zip,2026-08-23T12:47:32.016213+00:00,1,
HBARUSDT,1d,2026-06,AVAILABLE,200,30ea913d08a2edf1a438cb978cb992ba8968b8233ed1d7ec78c5a0b2da9695e1,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/1d/HBARUSDT-1d-2026-06.zip,2026-08-23T12:47:32.214251+00:00,1,
HBARUSDT,1d,2026-07,AVAILABLE,200,1b02198177c2bb8fa509ba436f095c9f4ff7e2c3765d9346fce3a871b170cb9e,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/1d/HBARUSDT-1d-2026-07.zip,2026-08-23T12:47:32.219864+00:00,1,
HBARUSDT,4h,2026-04,AVAILABLE,200,d485ad7642a25918a2413e9ec7b3d28757a92e5ab0913c3e130bd40bb3ffcc89,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/4h/HBARUSDT-4h-2026-04.zip,2026-08-23T12:47:32.223589+00:00,1,
HBARUSDT,4h,2026-05,AVAILABLE,200,83c80abe333d965e5f147fcf7153cb38772df2ac889682dc9721d176e98e416f,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/4h/HBARUSDT-4h-2026-05.zip,2026-08-23T12:47:32.217123+00:00,1,
HBARUSDT,4h,2026-06,AVAILABLE,200,51a6e6a57570fddd04918aed176742c5d17a5b0b159c8adcf94f5e07aec017d8,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/4h/HBARUSDT-4h-2026-06.zip,2026-08-23T12:47:32.414015+00:00,1,
HBARUSDT,4h,2026-07,AVAILABLE,200,d23d48e5983a46f6684baa5daa3e2263474d5d6df5f26389dde6823966252909,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/4h/HBARUSDT-4h-2026-07.zip,2026-08-23T12:47:32.065442+00:00,1,
HBARUSDT,1h,2026-04,AVAILABLE,200,37f74671e0a40e0ccdc76f30eebd06d4c354918b8576eef8a2dca3d575fab08d,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/1h/HBARUSDT-1h-2026-04.zip,2026-08-23T12:47:32.415745+00:00,1,
HBARUSDT,1h,2026-05,AVAILABLE,200,73d9361774c5c66d6d585e45b94419036aacb7b4d396d740979405eb0c25f718,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/1h/HBARUSDT-1h-2026-05.zip,2026-08-23T12:47:32.217912+00:00,1,
HBARUSDT,1h,2026-06,AVAILABLE,200,79ed5eb372342c27e05918858343275db68c4b52643fcf3b91a637648170e5c3,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/1h/HBARUSDT-1h-2026-06.zip,2026-08-23T12:47:32.418988+00:00,1,
HBARUSDT,1h,2026-07,AVAILABLE,200,1c763ca960172a968f7b2caf05b3343c415289888edbce81aa5b7f61b61895c7,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/1h/HBARUSDT-1h-2026-07.zip,2026-08-23T12:47:32.415578+00:00,1,
HBARUSDT,15m,2026-04,AVAILABLE,200,b28499cc7481ace5b282b53594b722139e23bf8f51d8ccc435ebb45a3083897f,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/15m/HBARUSDT-15m-2026-04.zip,2026-08-23T12:47:32.061581+00:00,1,
HBARUSDT,15m,2026-05,AVAILABLE,200,c3348856e9f6c63ed53ebc2d3356d7d2cbeb60760d6ae77cc49190a198e45d7b,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/15m/HBARUSDT-15m-2026-05.zip,2026-08-23T12:47:32.191190+00:00,1,
HBARUSDT,15m,2026-06,AVAILABLE,200,c88c461542da3f2c443fcdc74654b75b6f74b5b22b170050e45e916a46699ae4,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/15m/HBARUSDT-15m-2026-06.zip,2026-08-23T12:47:32.303445+00:00,1,
HBARUSDT,15m,2026-07,AVAILABLE,200,2fd29e5c4f17a34caa0dfcba1c101a26405b5e056a7145eaf7a1c1e15207c762,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/15m/HBARUSDT-15m-2026-07.zip,2026-08-23T12:47:32.217742+00:00,1,
HBARUSDT,5m,2026-04,AVAILABLE,200,5f0fa1be50b236ae61883a1b3607f97a57f8219cf77c2f76691e0a0846aca222,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/5m/HBARUSDT-5m-2026-04.zip,2026-08-23T12:47:32.596387+00:00,1,
HBARUSDT,5m,2026-05,AVAILABLE,200,a07a7a5b1737eb79a4c75f51af394adeef8fde466d31ac9169bc7b99c3becf0d,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/5m/HBARUSDT-5m-2026-05.zip,2026-08-23T12:47:32.967159+00:00,1,
HBARUSDT,5m,2026-06,AVAILABLE,200,5a26b42e821f2b1081b7ba363eb3e7253816247eb22597999942a0f6b9703307,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/5m/HBARUSDT-5m-2026-06.zip,2026-08-23T12:47:32.611762+00:00,1,
HBARUSDT,5m,2026-07,AVAILABLE,200,46df94c05892e6c740a10764e8f350849ab7d7211478c9152278322701b2c188,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/5m/HBARUSDT-5m-2026-07.zip,2026-08-23T12:47:32.605150+00:00,1,
HBARUSDT,1m,2026-04,AVAILABLE,200,c03a76131479d7ca4032a2261f2f91e6dec9dd540fba91e6d522d5ab1f7d924d,https://data.binance.vision/data/futures/um/monthly/klines/HBARUSDT/1m/HBARUSDT-1m-2026-04.zip,2026-08-23T12:47:32.952245+00:00,1,
