rows,expected,coverage_pct,largest_gap_minutes,first_open,last_open,pass,symbol,error
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,WLDUSDT,
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,ONDOUSDT,
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,FETUSDT,
,,,,,,False,SOXLBUSDT,RuntimeError('No 5m data for SOXLBUSDT')
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,AAVEUSDT,
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,FILUSDT,
60660.0,125281.0,48.41915374238711,5.0,2026-01-09T09:00:00+00:00,2026-08-07T23:55:00+00:00,False,ZAMAUSDT,
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,HFTUSDT,
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,MUBARAKUSDT,
10560.0,125281.0,8.429051492245431,5.0,2026-07-02T08:00:00+00:00,2026-08-07T23:55:00+00:00,False,GRAMUSDT,
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,GLMRUSDT,
,,,,,,False,WBTCUSDT,RuntimeError('No 5m data for WBTCUSDT')
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,XLMUSDT,
121974.0,125281.0,97.36033396923716,5.0,2025-06-10T11:30:00+00:00,2026-08-07T23:55:00+00:00,False,HOMEUSDT,
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,INJUSDT,
,,,,,,False,SPYBUSDT,RuntimeError('No 5m data for SPYBUSDT')
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,CATIUSDT,
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,DASHUSDT,
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,JSTUSDT,
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,BROCCOLI714USDT,
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,TRUMPUSDT,
,,,,,,False,EURUSDT,RuntimeError('No 5m data for EURUSDT')
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,ORDIUSDT,
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,CETUSUSDT,
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,VICUSDT,
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,XAIUSDT,
125280.0,125281.0,99.99920179436627,5.0,2025-05-30T00:00:00+00:00,2026-08-07T23:55:00+00:00,True,APTUSDT,
