month,trades,wins,targets,stops,timeouts,net_r,symbols,losses,accuracy_pct
2025-08,3,3,3,0,0,3.6670969505833972,3,0,100.0
2025-10,10,10,10,0,0,13.255918646899836,9,0,100.0
2025-11,1,True,1,0,0,1.3649937669614922,1,0,100.0
2025-12,2,2,2,0,0,2.7140948812000154,1,0,100.0
2026-01,2,2,2,0,0,2.5486874003755333,2,0,100.0
2026-02,2,2,2,0,0,2.7174638100013633,2,0,100.0
2026-05,2,2,2,0,0,2.5299968305402336,2,0,100.0
