config_id,sl_atr,target_r,fill_buffer_bps,threshold,validation_auc,trades,wins,losses,accuracy_pct,target_hit_rate_pct,profit_factor,expectancy_r,net_r,max_drawdown_r,trades_per_30d,fill_rate_pct,symbols,wilson95_low_pct,wilson95_high_pct,validation_hard_pass,quality_score
sl0.80_r0.75_fb0.0,0.8,0.75,0.0,0.5,0.5033534682079672,7912,4347,3565,54.94186046511628,54.94186046511628,0.5500176358324588,-0.24465361278212167,-1935.6993843321466,1939.008338781255,3251.5068493150684,100.0,48,53.84339071658675,56.03553376753882,False,-152.703129224169
sl0.80_r0.75_fb0.0,0.8,0.75,0.0,0.55,0.5033534682079672,1151,675,476,58.644656820156385,58.644656820156385,0.6513477268864829,-0.17298961470767224,-199.11104652853075,199.38099561010372,473.01369863013696,100.0,46,55.77543784535003,61.456364709020995,False,-2.133222718846149
sl0.80_r0.75_fb0.0,0.8,0.75,0.0,0.6,0.5033534682079672,173,105,68,60.69364161849711,60.69364161849711,0.7030035398659219,-0.14021459571544992,-24.257125058772836,29.807745578393323,71.0958904109589,100.0,44,53.25881840192027,67.66387712815654,False,17.087584523809248
sl0.80_r0.75_fb0.0,0.8,0.75,0.0,0.65,0.5033534682079672,39,25,14,64.1025641025641,64.1025641025641,0.7985968888099226,-0.08827813587488822,-3.4428472991206407,12.132375256772775,16.027397260273972,100.0,24,48.41814855954854,77.25791454100714,False,16.71035882656335
sl0.80_r0.75_fb0.0,0.8,0.75,0.0,0.7,0.5033534682079672,10,5,5,50.0,50.0,0.45446405255164063,-0.33206100363144286,-3.3206100363144286,6.0868766794304765,4.10958904109589,100.0,9,23.6593090512564,76.3406909487436,False,-26.3479433288733
sl0.80_r0.75_fb0.0,0.8,0.75,0.0,0.75,0.5033534682079672,1,1,0,100.0,100.0,inf,0.6128819912271122,0.6128819912271122,0.0,0.410958904109589,100.0,1,20.654931437723747,100.0,False,inf
sl0.80_r0.75_fb0.0,0.8,0.75,0.0,0.8,0.5033534682079672,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r0.75_fb0.0,0.8,0.75,0.0,0.85,0.5033534682079672,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r0.75_fb0.0,0.8,0.75,0.0,0.9,0.5033534682079672,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r0.75_fb0.5,0.8,0.75,0.5,0.5,0.4894255647967184,2835,1431,1404,50.476190476190474,50.476190476190474,0.47315088445919296,-0.31288922120241125,-887.0409421088359,887.6483589404493,1165.0684931506848,100.0,46,48.636350774903114,52.31474143618557,False,-80.50124152661675
sl0.80_r0.75_fb0.5,0.8,0.75,0.5,0.55,0.4894255647967184,810,405,405,50.0,50.0,0.4807445869596827,-0.30922639517267286,-250.473380089865,250.83887613187022,332.87671232876716,100.0,46,46.564830347710675,53.435169652289325,False,-29.75712517160149
sl0.80_r0.75_fb0.5,0.8,0.75,0.5,0.6,0.4894255647967184,185,95,90,51.35135135135135,51.35135135135135,0.5103161690379845,-0.28289841970137114,-52.33620764475366,54.03755338142672,76.02739726027397,100.0,40,44.195102133193295,58.45262153470502,False,-9.86368832299162
sl0.80_r0.75_fb0.5,0.8,0.75,0.5,0.65,0.4894255647967184,37,18,19,48.64864864864865,48.64864864864865,0.45189750587819194,-0.33078818847490055,-12.23916297357132,13.417593381728837,15.205479452054796,100.0,23,33.44640430301664,64.10510333438121,False,-25.681625586503458
sl0.80_r0.75_fb0.5,0.8,0.75,0.5,0.7,0.4894255647967184,11,4,7,36.36363636363637,36.36363636363637,0.29159179854982337,-0.522956198421421,-5.752518182635631,6.334821309757023,4.520547945205479,100.0,10,15.166471095367573,64.6198825492151,False,-60.75933965968925
sl0.80_r0.75_fb0.5,0.8,0.75,0.5,0.75,0.4894255647967184,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r0.75_fb0.5,0.8,0.75,0.5,0.8,0.4894255647967184,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r0.75_fb0.5,0.8,0.75,0.5,0.85,0.4894255647967184,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r0.75_fb0.5,0.8,0.75,0.5,0.9,0.4894255647967184,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.00_fb0.0,0.8,1.0,0.0,0.5,0.5049226870208903,7161,3433,3728,47.94023181119955,47.94023181119955,0.6051804665291713,-0.24820482810482758,-1777.3947740586702,1781.5171529274373,2942.876712328767,100.0,48,46.784568403466736,49.098103925076934,False,-148.54563906646086
sl0.80_r1.00_fb0.0,0.8,1.0,0.0,0.55,0.5049226870208903,1052,510,542,48.47908745247148,48.47908745247148,0.631909158635988,-0.22684529224776348,-238.64124744464718,241.756971021551,432.3287671232877,100.0,47,45.470098968665596,51.4991429821343,False,-22.663724301919434
sl0.80_r1.00_fb0.0,0.8,1.0,0.0,0.6,0.5049226870208903,134,60,74,44.776119402985074,44.776119402985074,0.5588466919206578,-0.28781797473439336,-38.56760861440871,39.5339230987182,55.06849315068493,100.0,41,36.61914968022998,53.22425438718391,False,-18.016295020391247
sl0.80_r1.00_fb0.0,0.8,1.0,0.0,0.65,0.5049226870208903,39,19,20,48.717948717948715,48.717948717948715,0.6305363502734468,-0.22479146154362367,-8.766867000201323,16.92068331288182,16.027397260273972,100.0,26,33.865175329862005,63.800637115542024,False,-15.205226347818895
sl0.80_r1.00_fb0.0,0.8,1.0,0.0,0.7,0.5049226870208903,19,9,10,47.368421052631575,47.368421052631575,0.575406460979583,-0.26805331033587126,-5.093012896381554,11.995031549777426,7.808219178082191,100.0,17,27.32980516117956,68.29219075488682,False,-22.65413392096121
sl0.80_r1.00_fb0.0,0.8,1.0,0.0,0.75,0.5049226870208903,4,2,2,50.0,50.0,0.6192336615878398,-0.22760380262555868,-0.9104152105022347,2.3910076040302606,1.643835616438356,100.0,4,15.003898915214947,84.99610108478505,False,-16.409040029160867
sl0.80_r1.00_fb0.0,0.8,1.0,0.0,0.8,0.5049226870208903,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.00_fb0.0,0.8,1.0,0.0,0.85,0.5049226870208903,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.00_fb0.0,0.8,1.0,0.0,0.9,0.5049226870208903,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.00_fb0.5,0.8,1.0,0.5,0.5,0.5066883495149664,2714,1216,1498,44.80471628592483,44.80471628592483,0.5425324675197629,-0.30338735350799295,-823.3932774206928,826.0142607636202,1115.3424657534247,100.0,46,42.94244421015594,46.681674625592365,False,-81.15293893201067
sl0.80_r1.00_fb0.5,0.8,1.0,0.5,0.55,0.5066883495149664,670,296,374,44.17910447761194,44.17910447761194,0.540775757687259,-0.3066046421949307,-205.4251102706036,206.4076993128357,275.3424657534247,100.0,45,40.4626180923032,47.961958790141864,False,-32.63382014263851
sl0.80_r1.00_fb0.5,0.8,1.0,0.5,0.6,0.5066883495149664,149,65,84,43.624161073825505,43.624161073825505,0.5282802754845569,-0.3206876903168578,-47.78246585721181,49.49941544964408,61.232876712328775,100.0,40,35.9206942483364,51.648123697657,False,-22.079707273594046
sl0.80_r1.00_fb0.5,0.8,1.0,0.5,0.65,0.5066883495149664,31,15,16,48.38709677419355,48.38709677419355,0.6463239778553562,-0.22082546203472606,-6.845589323076508,10.268390317580096,12.739726027397259,100.0,21,31.970251562417307,65.1596045519712,False,-15.4579558905738
sl0.80_r1.00_fb0.5,0.8,1.0,0.5,0.7,0.5066883495149664,1,0,1,0.0,0.0,0.0,-1.1501316523953267,-1.1501316523953267,1.1501316523953267,0.410958904109589,100.0,1,0.0,79.34506856227625,False,-163.50111952174362
sl0.80_r1.00_fb0.5,0.8,1.0,0.5,0.75,0.5066883495149664,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.00_fb0.5,0.8,1.0,0.5,0.8,0.5066883495149664,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.00_fb0.5,0.8,1.0,0.5,0.85,0.5066883495149664,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.00_fb0.5,0.8,1.0,0.5,0.9,0.5066883495149664,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.25_fb0.0,0.8,1.25,0.0,0.5,0.5048522068950364,6739,2882,3857,42.76598901914231,42.76598901914231,0.6454693585363285,-0.24499215441536634,-1651.0021286051538,1668.8997969181726,2769.452054794521,100.0,47,41.58923072109348,43.950989882424544,False,-145.25788548499978
sl0.80_r1.25_fb0.0,0.8,1.25,0.0,0.55,0.5048522068950364,1004,457,547,45.51792828685259,45.51792828685259,0.7339167283247763,-0.17337978076196858,-174.07329988501647,176.575871122754,412.6027397260274,100.0,46,42.4604961700853,48.609527868684474,False,-15.705673179578685
sl0.80_r1.25_fb0.0,0.8,1.25,0.0,0.6,0.5048522068950364,163,80,83,49.079754601226995,49.079754601226995,0.8579461336758804,-0.0855717663629559,-13.94819791716181,26.274805727315474,66.98630136986301,100.0,38,41.51526790080117,56.68661787674761,False,9.048035277887909
sl0.80_r1.25_fb0.0,0.8,1.25,0.0,0.65,0.5048522068950364,43,19,24,44.18604651162791,44.18604651162791,0.7054484150740419,-0.19499584745518614,-8.384821440573004,15.401065299895423,17.67123287671233,100.0,28,30.433309839170512,58.892385547175905,False,-17.07002285222315
sl0.80_r1.25_fb0.0,0.8,1.25,0.0,0.7,0.5048522068950364,22,9,13,40.909090909090914,40.909090909090914,0.591561225805664,-0.29305598545667627,-6.447231680046878,15.785062749647937,9.041095890410958,100.0,18,23.25581619647187,61.26518152368487,False,-32.56893714753585
sl0.80_r1.25_fb0.0,0.8,1.25,0.0,0.75,0.5048522068950364,10,4,6,40.0,40.0,0.5471705917040189,-0.32782107410708045,-3.2782107410708043,7.239394529182346,4.10958904109589,100.0,9,16.818032970623616,68.73262302663417,False,-37.56422826684934
sl0.80_r1.25_fb0.0,0.8,1.25,0.0,0.8,0.5048522068950364,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.25_fb0.0,0.8,1.25,0.0,0.85,0.5048522068950364,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.25_fb0.0,0.8,1.25,0.0,0.9,0.5048522068950364,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
